tr0109,st0001,1,20-11-2022,r
tr0110,st0001,1,20-11-2022,b
tr0111,st0001,1,20-11-2022,r
tr0112,st0001,1,20-11-2022,r
tr0113,st0001,1,20-11-2022,b
tr0114,st0001,1,20-11-2022,r
tr0115,st0001,1,20-11-2022,b
tr0116,st0001,1,20-11-2022,r
tr0117,st0001,9,20-11-2022,r
tr0118,st0002,9,20-11-2022,r
tr0119,st0002,1,20-11-2022,b
tr0120,st0002,1,20-11-2022,r
tr0121,st0001,8,20-11-2022,r
tr0122,st0001,9,20-11-2022,r
tr0123,st0001,9,20-11-2022,r
tr0124,st0001,9,20-11-2022,r
tr0125,st0001,1,20-11-2022,b
tr0126,st0001,1,20-11-2022,r
tr0127,st0001,8,20-11-2022,r
tr0128,st0001,9,20-11-2022,r
tr0129,st0001,1,20-11-2022,b
tr0130,st0002,12,20-11-2022,b
tr0131,st0002,12,20-11-2022,r
tr0132,st0011,4,21-11-2022,b
tr0133,st0011,4,21-11-2022,r
tr0134,st0011,4,21-11-2022,b
tr0135,st0011,4,21-11-2022,r
tr0136,st0001,1,22-11-2022,r
tr0137,st0001,9,22-11-2022,r
tr0138,st0001,5,22-11-2022,b
tr0139,st0001,8,22-11-2022,r
tr0140,st0001,9,22-11-2022,r
tr0141,st0001,1,22-11-2022,b
tr0142,st0001,1,23-11-2022,r
tr0143,st0001,1,23-11-2022,r
tr0144,st0001,5,23-11-2022,r
tr0145,st0001,8,23-11-2022,r
tr0146,st0001,9,23-11-2022,r
tr0147,st0001,8,23-11-2022,r
tr0148,st0001,8,23-11-2022,r
tr0149,st0001,8,23-11-2022,r
tr0150,st0001,5,23-11-2022,b
tr0151,st0001,1,23-11-2022,b
tr0152,st0001,1,23-11-2022,r
tr0153,st0001,8,23-11-2022,r
tr0154,st0001,9,23-11-2022,r
tr0155,st0001,9,23-11-2022,r
tr0156,st0001,9,23-11-2022,r
tr0157,st0001,9,23-11-2022,r
tr0158,st0001,5,30-11-2022,r
tr0159,st0001,9,10-12-2022,r
tr0160,st0011,5,10-12-2022,b
tr0161,st0011,5,10-12-2022,r
tr0162,st0001,16,11-12-2022,b
tr0163,st0001,16,11-12-2022,r
tr0164,st0001,15,11-12-2022,b
tr0165,st0001,5,15-12-2022,b
tr0166,st0001,5,15-12-2022,r
tr0167,st0001,9,15-12-2022,r
tr0168,st0001,9,15-12-2022,r
tr0169,st0004,12,15-12-2022,b
tr0170,st0004,12,15-12-2022,r
tr0171,st0004,5,15-12-2022,b
